Keyboard Event: Keycode = 28, Value = 0
Mouse Movement: X = -1, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = -1, Y = 0
Mouse Movement: X = -2, Y = 0
Mouse Movement: X = 0, Y = 2
Mouse Movement: X = -2, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = -4, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = -6, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = -9, Y = 0
Mouse Movement: X = 0, Y = 2
Mouse Movement: X = -11, Y = 0
Mouse Movement: X = 0, Y = 2
Mouse Movement: X = -13, Y = 0
Mouse Movement: X = 0, Y = 2
Mouse Movement: X = -16, Y = 0
Mouse Movement: X = 0, Y = 2
Mouse Movement: X = -18, Y = 0
Mouse Movement: X = 0, Y = 4
Mouse Movement: X = -20, Y = 0
Mouse Movement: X = 0, Y = 3
Mouse Movement: X = -22, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = -21, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = -21, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = -19, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = -14, Y = 0
Mouse Movement: X = -13, Y = 0
Mouse Movement: X = -11, Y = 0
Mouse Movement: X = -9, Y = 0
Mouse Movement: X = -8, Y = 0
Mouse Movement: X = -8, Y = 0
Mouse Movement: X = 0, Y = -1
Mouse Movement: X = -6, Y = 0
Mouse Movement: X = 0, Y = -2
Mouse Movement: X = -6, Y = 0
Mouse Movement: X = 0, Y = -2
Mouse Movement: X = -7, Y = 0
Mouse Movement: X = 0, Y = -1
Mouse Movement: X = -6, Y = 0
Mouse Movement: X = 0, Y = -2
Mouse Movement: X = -5, Y = 0
Mouse Movement: X = 0, Y = -1
Mouse Movement: X = -6, Y = 0
Mouse Movement: X = 0, Y = -1
Mouse Movement: X = -5, Y = 0
Mouse Movement: X = 0, Y = -1
Mouse Movement: X = -3, Y = 0
Mouse Movement: X = 0, Y = -1
Mouse Movement: X = -1, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = 2, Y = 0
Mouse Movement: X = 0, Y = 3
Mouse Movement: X = 4, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = 6, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = 8, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = 11, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = 13, Y = 0
Mouse Movement: X = 0, Y = 1
Mouse Movement: X = 16, Y = 0
Mouse Movement: X = 18, Y = 0
Mouse Movement: X = 20, Y = 0
Mouse Movement: X = 20, Y = 0
Mouse Movement: X = 20, Y = 0
Mouse Movement: X = 19, Y = 0
Mouse Movement: X = 17, Y = 0
Mouse Movement: X = 0, Y = -1
Mouse Movement: X = 17, Y = 0
Mouse Movement: X = 0, Y = -4
Mouse Movement: X = 14, Y = 0
Mouse Movement: X = 0, Y = -2
Mouse Movement: X = 10, Y = 0
Mouse Movement: X = 0, Y = -2
Mouse Movement: X = 9, Y = 0
Mouse Movement: X = 0, Y = -1
Mouse Movement: X = 6, Y = 0
Mouse Movement: X = 0, Y = -2
Mouse Movement: X = 2, Y = 0
Mouse Movement: X = 0, Y = -2
Mouse Movement: X = 1, Y = 0
Mouse Movement: X = 0, Y = -1
Mouse Movement: X = 0, Y = -1
Mouse Movement: X = 0, Y = -1
Mouse Movement: X = 0, Y = -1
Mouse Movement: X = 0, Y = -1
Mouse Movement: X = -2, Y = 0
